Entity,Code,Year,Coal Consumption - EJ,Oil Consumption - EJ,Gas Consumption - EJ
Other CIS,,1996,11.72249147646868,23.88119121800605,56.830342805599535
Other CIS,,1997,9.209298487126869,23.498456312300153,59.5009360225363
Other CIS,,1998,8.859537330004416,22.72276352748867,61.06811036832922
Other CIS,,1999,8.86690520541702,18.079033048731286,47.82780970726744
Other CIS,,2000,6.964308807631589,17.19254764969109,45.026497735074926
Other CIS,,2001,5.049276172509095,18.109497827695062,47.57672978362283
Other CIS,,2002,7.715273547233594,18.54610092238529,43.97954017783372
Other CIS,,2003,9.034653936897229,20.460326368248,39.694462027212275
Other CIS,,2004,8.45571978341661,22.528618856214003,48.10584604065661
Other CIS,,2005,9.702142081266818,24.2440903952568,50.43326714369201
Other CIS,,2006,9.320690757887197,26.602019059375998,52.125260357992154
Other CIS,,2007,9.204374594298786,31.860024654666,58.92317106770276
Other CIS,,2008,11.752282852041567,34.2893898203788,59.35090255541378
Other CIS,,2009,11.185155015183271,36.1929207320912,53.30280714066938
Other CIS,,2010,11.298985835100272,35.6255153892784,51.500671663022146
Other CIS,,2011,12.889548515204508,36.9791375277308,54.71899580659051
Other CIS,,2012,14.833668689550793,41.25733924479749,57.01844674036951
Other CIS,,2013,15.881384534822741,42.80136479662,47.59895512074892
Other CIS,,2014,19.112004508965487,41.50203699280415,52.620904335764514
Other CIS,,2015,21.0343562942343,42.7565099274028,51.82544371210597
Other CIS,,2016,19.692783180480166,46.76787605201814,51.4088544581276
Other CIS,,2017,22.332222967571248,44.496874271911494,50.523612231419115
Other CIS,,2018,24.293126879326348,49.28031108232734,58.65985664626
Other CIS,,2019,32.47494915689438,50.32551368512124,55.12003445280173
Other CIS,,1965,,0,
Other CIS,,1966,,0,
Other CIS,,1967,,0,
Other CIS,,1968,,0,
Other CIS,,1969,,0,
Other CIS,,1970,,0,
Other CIS,,1971,,0,
Other CIS,,1972,,0,
Other CIS,,1973,,0,
Other CIS,,1974,,0,
Other CIS,,1975,,0,
Other CIS,,1976,,0,
Other CIS,,1977,,0,
Other CIS,,1978,,0,
Other CIS,,1979,,0,
Other CIS,,1980,,0,
Other CIS,,1981,,0,
Other CIS,,1982,,0,
Other CIS,,1983,,0,
Other CIS,,1984,,0,
Other Caribbean,,1965,0.5815004652000001,208.87458631023898,0.029250023400000002
Other Caribbean,,1966,0.5815004652000001,216.37321688223895,0.029250023400000002
Other Caribbean,,1967,0.5815004652000001,225.63503533304026,0.029250023400000002
Other Caribbean,,1968,0.5815004652000001,230.60613541993186,0.029250023400000002
Other Caribbean,,1969,0.5815004652000001,236.5375667403437,0.029250023400000002
Other Caribbean,,1970,0.46520037216000004,272.26950775196974,0.043880035104
Other Caribbean,,1971,0.383790307032,277.77078471796807,0.08740006992
Other Caribbean,,1972,0.383790307032,297.49289491282553,0.09378007502400001
Other Caribbean,,1973,0.325640260512,321.63898078689823,0.180440144352
Other Caribbean,,1974,0.34890027912,319.3892637498316,0.21646017316800004
Other Caribbean,,1975,0.43301367976635563,310.8000534455744,0.19520015616
Other Caribbean,,1976,0.34890027912,315.328939328558,0.26172020937600005
Other Caribbean,,1977,0.651280521024,331.0548562739926,0.22045017636
Other Caribbean,,1978,0.651280521024,339.33775368155244,0.198170158536
Other Caribbean,,1979,0.5466104372880001,349.6525418593737,0.300080240064
Other Caribbean,,1980,0.6396505117200001,395.03289832286026,0.30395024316
Other Caribbean,,1981,0.628020502416,399.0044667545208,0.21806017444800002
Other Caribbean,,1982,1.139740911792,346.1776145357257,0.189920151936
Other Caribbean,,1983,2.3796985909357944,329.7647123929228,0.18841015072800002
Other Caribbean,,1984,1.9251721560928818,350.7920979977789,0.224890179912
Other Caribbean,,1985,3.7543167594073945,326.07130621223905,0.318030254424
Other Caribbean,,1986,3.0003027910977575,319.881438111168,0.31515025212000003
Other Caribbean,,1987,4.689925865772413,331.18882661392996,0.44885035908000004
Other Caribbean,,1988,4.435034102555389,333.80758811619296,0.465590372472
Other Caribbean,,1989,4.061695382310818,351.5997995499313,0.601640481312
Other Caribbean,,1990,3.8306588452959582,345.55572390673024,0.6086404869120001
Other Caribbean,,1991,3.9972905643047825,337.34228191895414,0.4991203992960001
Other Caribbean,,1992,3.6660903234708573,321.89767559295666,0.409960327968
Other Caribbean,,1993,4.071262794798019,324.61988858774487,0.4764703811760001
Other Caribbean,,1994,3.1436645869303796,343.60842692938,0.424590339672
Other Caribbean,,1995,3.256260029023884,343.3650050671871,0.441830353464
Other Caribbean,,1996,2.670357489590188,356.02135068858604,0.4817103853680001
Other Caribbean,,1997,2.793669215796529,378.05768110544193,0.6117904894320001
Other Caribbean,,1998,3.3918337454668537,390.1252751704122,1.6635613308480002
Other Caribbean,,1999,4.076029724731144,372.87788703039047,5.272324217856
Other Caribbean,,2000,4.440824907857973,424.1177582189463,9.819604464629982
Other Caribbean,,2001,5.00040719003008,430.451675407876,13.130520504408
Other Caribbean,,2002,10.242828351493154,432.42294080761764,12.996350291321917
Other Caribbean,,2003,18.62660791326155,428.59211609507696,16.989556877016824
Other Caribbean,,2004,21.631826483181623,431.0981787927422,15.67478522375076
Other Caribbean,,2005,18.862640878714352,434.5262130884396,16.547931822164173
Other Caribbean,,2006,24.245948218272115,439.3403118277878,21.775595429478074
Other Caribbean,,2007,24.89455126973903,423.16513449753126,24.709019498081233
Other Caribbean,,2008,23.375542636516872,408.19492735098896,25.087216873388474
Other Caribbean,,2009,21.0926750674855,379.84094316255863,24.356284412093057
Other Caribbean,,2010,21.940971466667524,373.99812459242975,24.632708223792452
Other Caribbean,,2011,24.43591366308071,373.03412247726476,27.459254020068617
Other Caribbean,,2012,22.04240814778419,366.7972405910522,32.24338508063354
Other Caribbean,,2013,24.170915862706057,351.1288189415832,35.92425357874877
Other Caribbean,,2014,27.485881491493547,343.4577827180008,36.788693314772495
Other Caribbean,,2015,25.855700796543093,355.922757542595,36.75833313045965
Other Caribbean,,2016,25.994167093662732,366.45421932594377,38.26949584015218
Other Caribbean,,2017,23.363696489127463,358.83666162583575,36.09059701323952
Other Caribbean,,2018,25.138582319588824,369.5055551580743,41.07676557053006
Other Caribbean,,2019,38.974576456325394,359.8339804553708,50.05743981850426
Other Middle East,,1965,0.07577865175964568,67.91260379922153,0.48775039020000005
Other Middle East,,1966,0.072646965195259,70.62939658119096,0.5850004679999999
Other Middle East,,1967,0.07576481330298104,73.43907538092414,0.5850004679999999
Other Middle East,,1968,0.07740522858485722,76.40726302114902,2.6332521066000005
Other Middle East,,1969,0.08524648273642026,79.46677020248863,3.0237524190000005
Other Middle East,,1970,0.08332900001527195,77.15360825273306,6.501175200936
Other Middle East,,1971,0.088132210505712,80.42459429041563,9.47845758276
Other Middle East,,1972,0.073292318633808,78.47868214096992,11.827719462168
Other Middle East,,1973,0.158737996990296,84.45024118534695,16.770473416368002
Other Middle East,,1974,0.10818234654580801,90.52514923784368,20.678156542512003
Other Middle East,,1975,0.11600934280740002,99.78745399389045,21.759747407784
Other Middle East,,1976,0.07732793186229601,112.32650514438501,23.120448496344004
Other Middle East,,1977,0.07732793186229601,123.69149088286021,25.086530069208
Other Middle East,,1978,0.10068099054472801,130.14283091948144,27.516332013048
Other Middle East,,1979,0.07718837175064801,150.90118225004926,30.480854384664003
Other Middle East,,1980,0.07718837175064801,148.42239130797307,24.925659940512002
Other Middle East,,1981,0.113020430416272,159.13522766755528,23.150518520400002
Other Middle East,,1982,0.09826194860949602,179.25850800943533,36.301299041016
